"STPSxx-SPCT Inductif_31029_20190507_093827.csv"
"Claire Julien Lafosse"
"sn :";31029
"Cadence d'enregistrement :";"3600 s"

Date;"Température (-5 +35°C) (øC)";"Profondeur 30m (m)";"Conductivité (g/l)"
"12/04/2019 23:00:00";12,21;0,84;32,80
"13/04/2019 00:00:00";12,16;0,84;32,86
"13/04/2019 01:00:00";12,11;0,82;32,89
"13/04/2019 02:00:00";12,05;0,85;32,88
"13/04/2019 03:00:00";11,93;0,86;32,90
"13/04/2019 04:00:00";11,78;0,85;32,93
"13/04/2019 05:00:00";11,77;0,87;32,96
"13/04/2019 06:00:00";11,21;0,86;32,91
"13/04/2019 07:00:00";10,69;0,85;32,53
"13/04/2019 08:00:00";10,44;0,86;32,52
"13/04/2019 09:00:00";10,37;0,87;32,54
"13/04/2019 10:00:00";10,52;0,86;32,76
"13/04/2019 11:00:00";10,80;0,87;32,96
"13/04/2019 12:00:00";10,98;0,87;32,94
"13/04/2019 13:00:00";11,05;0,86;32,94
"13/04/2019 14:00:00";11,19;0,85;32,94
"13/04/2019 15:00:00";11,25;0,84;32,97
"13/04/2019 16:00:00";11,29;0,81;32,93
"13/04/2019 17:00:00";11,36;0,82;32,87
"13/04/2019 18:00:00";11,39;0,82;32,85
"13/04/2019 19:00:00";11,40;0,81;32,84
"13/04/2019 20:00:00";11,39;0,81;32,80
"13/04/2019 21:00:00";11,39;0,82;32,77
"13/04/2019 22:00:00";11,41;0,82;32,76
"13/04/2019 23:00:00";11,46;0,82;32,76
"14/04/2019 00:00:00";11,51;0,81;32,78
"14/04/2019 01:00:00";11,56;0,82;32,75
"14/04/2019 02:00:00";11,37;0,84;32,73
"14/04/2019 03:00:00";11,11;0,84;32,73
"14/04/2019 04:00:00";10,88;0,82;32,73
"14/04/2019 05:00:00";10,62;0,82;32,75
"14/04/2019 06:00:00";10,49;0,82;32,75
"14/04/2019 07:00:00";10,28;0,84;32,75
"14/04/2019 08:00:00";10,15;0,82;32,77
"14/04/2019 09:00:00";10,13;0,82;32,80
"14/04/2019 10:00:00";10,35;0,84;33,03
"14/04/2019 11:00:00";10,61;0,86;33,08
"14/04/2019 12:00:00";10,78;0,84;33,08
"14/04/2019 13:00:00";10,85;0,84;33,09
"14/04/2019 14:00:00";10,88;0,82;33,08
"14/04/2019 15:00:00";10,85;0,82;33,09
"14/04/2019 16:00:00";10,83;0,82;33,03
"14/04/2019 17:00:00";10,84;0,82;32,99
"14/04/2019 18:00:00";10,85;0,80;32,96
"14/04/2019 19:00:00";10,85;0,80;32,97
"14/04/2019 20:00:00";10,86;0,80;32,98
"14/04/2019 21:00:00";10,86;0,79;32,97
"14/04/2019 22:00:00";10,90;0,80;32,96
"14/04/2019 23:00:00";10,97;0,80;32,94
"15/04/2019 00:00:00";11,03;0,81;32,95
"15/04/2019 01:00:00";11,19;0,80;32,94
"15/04/2019 02:00:00";11,12;0,81;32,96
"15/04/2019 03:00:00";10,91;0,81;32,96
"15/04/2019 04:00:00";10,65;0,81;32,98
"15/04/2019 05:00:00";10,51;0,79;32,97
"15/04/2019 06:00:00";10,31;0,80;32,98
"15/04/2019 07:00:00";10,18;0,79;32,99
"15/04/2019 08:00:00";9,95;0,79;33,00
"15/04/2019 09:00:00";9,93;0,79;33,01
"15/04/2019 10:00:00";10,00;0,77;33,01
"15/04/2019 11:00:00";10,16;0,76;33,02
"15/04/2019 12:00:00";10,33;0,76;33,09
"15/04/2019 13:00:00";10,58;0,77;33,17
"15/04/2019 14:00:00";10,61;0,75;33,18
"15/04/2019 15:00:00";10,62;0,74;33,16
"15/04/2019 16:00:00";10,61;0,73;33,12
"15/04/2019 17:00:00";10,62;0,72;33,12
"15/04/2019 18:00:00";10,61;0,70;33,09
"15/04/2019 19:00:00";10,62;0,70;33,09
"15/04/2019 20:00:00";10,66;0,72;33,13
"15/04/2019 21:00:00";10,70;0,70;33,13
"15/04/2019 22:00:00";10,75;0,70;33,13
"15/04/2019 23:00:00";10,78;0,72;33,15
"16/04/2019 00:00:00";10,81;0,73;33,17
"16/04/2019 01:00:00";10,84;0,73;33,17
"16/04/2019 02:00:00";10,88;0,73;33,16
"16/04/2019 03:00:00";10,89;0,72;33,19
"16/04/2019 04:00:00";10,91;0,72;33,17
"16/04/2019 05:00:00";10,92;0,70;33,18
"16/04/2019 06:00:00";10,96;0,73;33,18
"16/04/2019 07:00:00";10,98;0,73;33,19
"16/04/2019 08:00:00";11,01;0,74;33,20
"16/04/2019 09:00:00";11,06;0,75;33,21
"16/04/2019 10:00:00";11,09;0,76;33,21
"16/04/2019 11:00:00";11,14;0,77;33,21
"16/04/2019 12:00:00";11,18;0,77;33,22
"16/04/2019 13:00:00";11,24;0,76;33,22
"16/04/2019 14:00:00";11,31;0,77;33,22
"16/04/2019 15:00:00";11,38;0,78;33,23
"16/04/2019 16:00:00";11,54;0,77;33,22
"16/04/2019 17:00:00";11,67;0,76;33,19
"16/04/2019 18:00:00";11,77;0,77;33,20
"16/04/2019 19:00:00";11,84;0,77;33,20
"16/04/2019 20:00:00";11,90;0,77;33,21
"16/04/2019 21:00:00";11,95;0,77;33,22
"16/04/2019 22:00:00";11,96;0,78;33,21
"16/04/2019 23:00:00";11,98;0,77;33,21
"17/04/2019 00:00:00";12,00;0,77;33,22
"17/04/2019 01:00:00";12,03;0,78;33,21
"17/04/2019 02:00:00";12,05;0,77;33,21
"17/04/2019 03:00:00";12,09;0,76;33,23
"17/04/2019 04:00:00";12,09;0,77;33,24
"17/04/2019 05:00:00";12,10;0,77;33,25
"17/04/2019 06:00:00";12,14;0,76;33,26
"17/04/2019 07:00:00";12,14;0,77;33,27
"17/04/2019 08:00:00";12,18;0,78;33,25
"17/04/2019 09:00:00";12,19;0,79;33,26
"17/04/2019 10:00:00";12,20;0,79;33,28
"17/04/2019 11:00:00";12,25;0,79;33,28
"17/04/2019 12:00:00";12,31;0,78;33,28
"17/04/2019 13:00:00";12,39;0,77;33,27
"17/04/2019 14:00:00";12,53;0,76;33,28
"17/04/2019 15:00:00";12,66;0,75;33,27
"17/04/2019 16:00:00";12,81;0,74;33,24
"17/04/2019 17:00:00";12,93;0,73;33,24
"17/04/2019 18:00:00";13,02;0,75;33,24
"17/04/2019 19:00:00";13,08;0,74;33,24
"17/04/2019 20:00:00";13,15;0,74;33,23
"17/04/2019 21:00:00";12,99;0,75;33,28
"17/04/2019 22:00:00";12,91;0,74;33,29
"17/04/2019 23:00:00";12,89;0,74;33,30
"18/04/2019 00:00:00";12,93;0,74;33,29
"18/04/2019 01:00:00";12,91;0,75;33,30
"18/04/2019 02:00:00";12,94;0,74;33,30
"18/04/2019 03:00:00";13,00;0,75;33,31
"18/04/2019 04:00:00";13,03;0,74;33,30
"18/04/2019 05:00:00";13,03;0,74;33,30
"18/04/2019 06:00:00";13,09;0,75;33,31
"18/04/2019 07:00:00";13,07;0,75;33,30
"18/04/2019 08:00:00";12,85;0,77;33,37
"18/04/2019 09:00:00";11,92;0,80;34,38
"18/04/2019 10:00:00";11,59;0,79;34,57
"18/04/2019 11:00:00";11,66;0,80;34,56
"18/04/2019 12:00:00";11,75;0,79;34,57
"18/04/2019 13:00:00";11,88;0,79;34,54
"18/04/2019 14:00:00";12,07;0,78;34,54
"18/04/2019 15:00:00";12,25;0,78;34,52
"18/04/2019 16:00:00";12,42;0,77;34,52
